PARCELLE;SURFACE;REVENU;SCTL;IdParcelle;IdGfa;IdCommune;IdLieuDit;IdTypeCad;IdClassCad;Observations;CodeMapInfo
0B0206;5.2800000000000000e+02;1.3000000000010914e-01;1;116;5;2;269;7;2;;
0B0207;2.8800000000000000e+02;7.0000000000050022e-02;1;117;5;2;269;7;2;;
0B0208;9.2800000000000000e+02;2.3000000000001819e-01;1;118;5;2;269;7;2;;
0B0209;4.3200000000000000e+02;1.1000000000001364e-01;1;119;5;2;269;7;2;;
0B0210;1.0080000000000000e+03;2.5000000000000000e-01;1;120;5;2;269;7;2;;
0B0211;1.0880000000000000e+03;2.6999999999998181e-01;1;121;5;2;269;7;2;;
0B0212;8.4800000000000000e+02;2.1000000000003638e-01;1;122;5;2;269;7;2;;
0B0213;5.6000000000000000e+02;1.4000000000010004e-01;1;123;5;2;269;7;2;;
0B0218;9.6000000000000000e+02;2.4000000000000909e-01;1;125;5;2;362;7;2;;
0B0284;5.6800000000000000e+03;2.6999999999998181e-01;1;128;5;2;368;5;2;;
0B0286;6.7800000000000000e+03;1.6800000000002910e+00;1;129;5;2;368;7;2;;
0B0289;2.1900000000000000e+03;8.9000000000032742e-01;1;130;5;2;154;9;5;;
0B0290;7.4400000000000000e+03;3.0400000000008731e+00;1;131;5;2;154;9;5;;
0B0291;8.8300000000000000e+03;3.6100000000005821e+00;1;132;5;2;154;9;5;;
0B0320;3.6400000000000000e+03;8.9999999999963620e-01;1;133;5;2;80;7;2;;
0B0324;4.0300000000000000e+03;1.0000000000000000e+00;1;134;5;2;80;7;2;;
0B0427;2.4552000000000000e+04;6.0800000000017462e+00;1;135;5;2;112;7;2;;
0B0431;2.2140000000000000e+03;5.5000000000018190e-01;0;136;6;2;323;7;2;;
0B0437;2.1300000000000000e+03;5.2999999999974534e-01;1;137;5;2;323;7;2;;
0B0439;3.6700000000000000e+03;9.0999999999985448e-01;1;139;5;2;323;7;2;;
0B0441;5.9900000000000000e+03;1.4799999999995634e+00;1;141;5;2;323;7;2;;
0B0442;1.1400000000000000e+03;2.8000000000020009e-01;1;142;5;2;323;7;2;;
0B0444;1.1800000000000000e+03;2.8999999999996362e-01;1;144;5;2;323;7;2;;
0B0445;3.9400000000000000e+02;1.0000000000002274e-01;1;145;5;2;323;7;2;;
0C0077;1.2350000000000000e+03;3.0999999999994543e-01;1;147;5;2;138;7;2;;
0C0091;1.0040000000000000e+04;2.5800000000000001e+00;0;148;6;2;138;7;2;Acte du 04/04/1977 - GFA Larzac 2 - Vente de M. J.Marc Coste et M. Jacques Coste.;
0C0092;3.4930000000000000e+03;1.4800000000000000e+00;0;149;6;2;138;9;5;;
0C0098;1.5320000000000000e+04;7.2999999999956344e-01;0;150;6;2;120;5;2;;
0C0100;6.9600000000000000e+03;2.9500000000000002e+00;0;151;6;2;120;9;5;Acte du 04/04/1977 - GFA Larzac 2 - Vente de M. J.Marc Coste et M. Jacques Coste.;
0C0104;3.4000000000000000e+03;2.7799999999988358e+00;1;152;5;2;120;9;4;;
0C0106;2.0650000000000000e+03;5.1000000000021828e-01;1;153;5;2;120;7;2;;
0C0107;6.8400000000000000e+03;5.5899999999965075e+00;1;154;5;2;120;9;4;;
0C0123;1.1200000000000000e+03;2.8000000000020009e-01;1;155;5;2;372;7;2;;
0C0124;1.2480000000000000e+03;3.0999999999994543e-01;1;156;5;2;372;7;2;;
0C0126;1.3930000000000000e+03;3.4999999999990905e-01;1;157;5;2;372;7;2;;
0C0129;2.1120000000000000e+03;5.2000000000043656e-01;1;158;5;2;137;7;2;;
0C0130;1.6800000000000000e+03;4.2999999999999999e-01;0;159;6;2;137;7;2;Elle vient de l'apport en nature de François Pascal - GFA Larzac 1 - acte du 12/12/1973;
0C0131;3.6400000000000000e+03;8.9999999999963620e-01;1;160;5;2;137;7;2;;
0C0133;2.4800000000000000e+03;6.0999999999967258e-01;1;161;5;2;137;7;2;;
0C0134;2.0000000000000000e+04;1.6329999999987194e+01;1;162;5;2;137;9;4;;
0D0024;4.5200000000000000e+03;2.2000000000007276e+00;1;163;5;2;211;7;1;;
0D0025;2.9600000000000000e+03;1.5000000000000000e+00;0;164;6;2;211;7;1;Acte du 18 octobre 1974 GFA1  - Vente Louis Vidal et Ernestine Canaguier;
0D0026;2.2890000000000000e+03;1.1599999999999999e+00;0;165;6;2;211;7;1;Elle vient de l'apport en nature de François Pascal - GFA Larzac 1 - acte du 12/12/1973;
0D0027;6.4000000000000000e+03;3.1199999999989814e+00;1;166;5;2;211;7;1;;
0D0028;3.7600000000000000e+03;1.8299999999999272e+00;1;167;5;2;211;7;1;;
0D0029;4.8000000000000000e+03;2.3400000000001455e+00;1;168;5;2;211;7;1;;
0D0030;3.7200000000000000e+03;1.8099999999994907e+00;1;169;5;2;211;7;1;;
0D0031;3.9600000000000000e+03;1.9300000000002910e+00;1;170;5;2;211;7;1;;
0D0032;2.2700000000000000e+03;1.1100000000005821e+00;1;171;5;2;211;7;1;;
0D0033;5.2400000000000000e+03;2.5499999999992724e+00;1;172;5;2;211;7;1;;
