DIVISION;SUBDIVISION;SURFACE;GFA;REVENU;IdSubdivision;IdParcelle;IdTypeCad;IdClassCad;IdFermage;IdExploitant;IdCommune;IdLieuDit;DureeFermage;Point;IdRecad;PointFermage
1;1;5.3270000000000000e+04;;4.1412098000000000e+01;2944;1;7;2;6;4;1;2;;2.1308000000000000e+01;1;
1;1;3.5400000000000000e+03;;1.3936980000000000e+01;2945;2;9;3;11;4;1;2;;1.0974000000000000e+01;2;
2;1;2.7103500000000000e+05;;1.3768577999999999e+02;2946;2;7;2;6;4;1;2;;1.0841400000000000e+02;3;
3;1;1.3600000000000000e+03;;1.7272000000000001e-01;2947;2;5;2;1;4;1;2;;1.3600000000000001e-01;4;
4;1;7.1180000000000000e+03;;2.8023565999999999e+01;2948;2;9;3;11;4;1;2;;2.2065799999999999e+01;5;
5;1;1.2000000000000000e+03;;1.5240000000000001e-01;2949;2;5;2;1;4;1;2;;1.2000000000000000e-01;6;
1;1;5.5689000000000000e+04;;3.7645764000000000e+01;2950;3;7;2;6;60;1;35;;2.2275600000000001e+01;7;
1;1;1.7958000000000000e+04;;1.8209412000000000e+01;2951;4;7;1;5;60;1;3;;1.0774800000000001e+01;8;
2;1;1.7959000000000000e+04;;1.2140283999999999e+01;2952;4;7;2;6;60;1;3;;7.1836000000000002e+00;9;
1;1;8.8000000000000000e+02;;4.4703999999999999e-01;2955;7;7;2;6;3;2;330;;3.5199999999999998e-01;12;
1;1;2.4000000000000000e+03;;1.2192000000000001e+00;2957;9;7;1;6;3;2;330;;9.5999999999999996e-01;14;
1;1;7.0400000000000000e+02;;3.5763200000000001e-01;2958;10;7;2;6;3;2;330;;2.8160000000000002e-01;15;
1;1;1.1200000000000000e+03;;5.6896000000000002e-01;2959;11;7;2;6;3;2;330;;4.4800000000000001e-01;16;
1;1;7.2400000000000000e+03;;2.3906479999999998e+01;2960;12;7;1;12;3;2;335;;1.8824000000000002e+01;17;
