code;nom
A;Conifère - Petit Bois (PB)
B;Conifère - Bois Moyen (BM)
C;Cèdre
D;Douglas
E;Chênaie
F;Hêtraie
G;Châtaignier
H;Mélange
I;Boisement complet avec classes d'ages différenciées et mélange feuillus/résineux possible
J;Peuplement (feuillus ou résineux) clair évoluant vers la forêt mais avec un potentiel retour au sylvopastoralisme possible
K;Majoritairement conifère
L;Majoritairement feuillus
M;Majoritairement conifère
N;Majoritairement feuillus
O;Majoritairement conifère
P;Majoritairement conifère
Q;Pas de potentiel de production forestière ou pastoral (zones improductives : rochers, …)
